"","gs_name","gs_id","gs_cat","gs_subcat","human_gene_symbol","species_name","entrez_gene","gene_symbol","sources"
"1","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","AIFM1","Homo sapiens",9131,"AIFM1",NA
"2","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","AKT1","Homo sapiens",207,"AKT1",NA
"3","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","AKT2","Homo sapiens",208,"AKT2",NA
"4","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","AKT3","Homo sapiens",10000,"AKT3",NA
"5","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","APAF1","Homo sapiens",317,"APAF1",NA
"6","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","ATM","Homo sapiens",472,"ATM",NA
"7","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","BAD","Homo sapiens",572,"BAD",NA
"8","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","BAX","Homo sapiens",581,"BAX",NA
"9","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","BCL2","Homo sapiens",596,"BCL2",NA
"10","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","BCL2L1","Homo sapiens",598,"BCL2L1",NA
"11","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","BID","Homo sapiens",637,"BID",NA
"12","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","BIRC2","Homo sapiens",329,"BIRC2",NA
"13","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","BIRC3","Homo sapiens",330,"BIRC3",NA
"14","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CAPN1","Homo sapiens",823,"CAPN1",NA
"15","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CAPN2","Homo sapiens",824,"CAPN2",NA
"16","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CASP10","Homo sapiens",843,"CASP10",NA
"17","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CASP3","Homo sapiens",836,"CASP3",NA
"18","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CASP6","Homo sapiens",839,"CASP6",NA
"19","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CASP7","Homo sapiens",840,"CASP7",NA
"20","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CASP8","Homo sapiens",841,"CASP8",NA
"21","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CASP9","Homo sapiens",842,"CASP9",NA
"22","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CFLAR","Homo sapiens",8837,"CFLAR",NA
"23","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CHP1","Homo sapiens",11261,"CHP1",NA
"24","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CHP2","Homo sapiens",63928,"CHP2",NA
"25","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CHUK","Homo sapiens",1147,"CHUK",NA
"26","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CSF2RB","Homo sapiens",1439,"CSF2RB",NA
"27","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","CYCS","Homo sapiens",54205,"CYCS",NA
"28","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","DFFA","Homo sapiens",1676,"DFFA",NA
"29","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","DFFB","Homo sapiens",1677,"DFFB",NA
"30","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","ENDOD1","Homo sapiens",23052,"ENDOD1",NA
"31","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","ENDOG","Homo sapiens",2021,"ENDOG",NA
"32","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","EXOG","Homo sapiens",9941,"EXOG",NA
"33","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","FADD","Homo sapiens",8772,"FADD",NA
"34","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","FAS","Homo sapiens",355,"FAS",NA
"35","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","FASLG","Homo sapiens",356,"FASLG",NA
"36","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IKBKB","Homo sapiens",3551,"IKBKB",NA
"37","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IKBKG","Homo sapiens",8517,"IKBKG",NA
"38","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IL1A","Homo sapiens",3552,"IL1A",NA
"39","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IL1B","Homo sapiens",3553,"IL1B",NA
"40","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IL1R1","Homo sapiens",3554,"IL1R1",NA
"41","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IL1RAP","Homo sapiens",3556,"IL1RAP",NA
"42","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IL3","Homo sapiens",3562,"IL3",NA
"43","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IL3RA","Homo sapiens",3563,"IL3RA",NA
"44","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IRAK1","Homo sapiens",3654,"IRAK1",NA
"45","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IRAK2","Homo sapiens",3656,"IRAK2",NA
"46","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IRAK3","Homo sapiens",11213,"IRAK3",NA
"47","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","IRAK4","Homo sapiens",51135,"IRAK4",NA
"48","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","MAP3K14","Homo sapiens",9020,"MAP3K14",NA
"49","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","MYD88","Homo sapiens",4615,"MYD88",NA
"50","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","NFKB1","Homo sapiens",4790,"NFKB1",NA
"51","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","NFKBIA","Homo sapiens",4792,"NFKBIA",NA
"52","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","NGF","Homo sapiens",4803,"NGF",NA
"53","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","NTRK1","Homo sapiens",4914,"NTRK1",NA
"54","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3CA","Homo sapiens",5290,"PIK3CA",NA
"55","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3CB","Homo sapiens",5291,"PIK3CB",NA
"56","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3CD","Homo sapiens",5293,"PIK3CD",NA
"57","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3CG","Homo sapiens",5294,"PIK3CG",NA
