"","gs_name","gs_id","gs_cat","gs_subcat","human_gene_symbol","species_name","entrez_gene","gene_symbol","sources"
"1","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ABL1","Homo sapiens",25,"ABL1",NA
"2","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ANAPC1","Homo sapiens",64682,"ANAPC1",NA
"3","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ANAPC10","Homo sapiens",10393,"ANAPC10",NA
"4","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ANAPC11","Homo sapiens",51529,"ANAPC11",NA
"5","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ANAPC13","Homo sapiens",25847,"ANAPC13",NA
"6","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ANAPC2","Homo sapiens",29882,"ANAPC2",NA
"7","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ANAPC4","Homo sapiens",29945,"ANAPC4",NA
"8","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ANAPC5","Homo sapiens",51433,"ANAPC5",NA
"9","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ANAPC7","Homo sapiens",51434,"ANAPC7",NA
"10","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ATM","Homo sapiens",472,"ATM",NA
"11","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ATR","Homo sapiens",545,"ATR",NA
"12","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","BUB1","Homo sapiens",699,"BUB1",NA
"13","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","BUB1B","Homo sapiens",701,"BUB1B",NA
"14","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","BUB3","Homo sapiens",9184,"BUB3",NA
"15","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCNA1","Homo sapiens",8900,"CCNA1",NA
"16","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCNA2","Homo sapiens",890,"CCNA2",NA
"17","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCNB1","Homo sapiens",891,"CCNB1",NA
"18","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCNB2","Homo sapiens",9133,"CCNB2",NA
"19","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCNB3","Homo sapiens",85417,"CCNB3",NA
"20","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCND1","Homo sapiens",595,"CCND1",NA
"21","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCND2","Homo sapiens",894,"CCND2",NA
"22","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCND3","Homo sapiens",896,"CCND3",NA
"23","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCNE1","Homo sapiens",898,"CCNE1",NA
"24","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCNE2","Homo sapiens",9134,"CCNE2",NA
"25","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CCNH","Homo sapiens",902,"CCNH",NA
"26","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC14A","Homo sapiens",8556,"CDC14A",NA
"27","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC14B","Homo sapiens",8555,"CDC14B",NA
"28","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC16","Homo sapiens",8881,"CDC16",NA
"29","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC20","Homo sapiens",991,"CDC20",NA
"30","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC23","Homo sapiens",8697,"CDC23",NA
"31","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC25A","Homo sapiens",993,"CDC25A",NA
"32","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC25B","Homo sapiens",994,"CDC25B",NA
"33","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC25C","Homo sapiens",995,"CDC25C",NA
"34","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC26","Homo sapiens",246184,"CDC26",NA
"35","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC27","Homo sapiens",996,"CDC27",NA
"36","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CDC45","Homo sapiens",8318,"CDC45",NA
