,gene_symbol
1,Ccnd1
2,Ccnd2
3,Ccnd3
4,Cdk4
5,Cdk6
6,Rb1
7,Rbl1
8,Rbl2
9,Abl1
10,Hdac2
11,Hdac1
12,E2f1
13,E2f2
14,E2f3
15,E2f4
16,E2f5
17,Tfdp1
18,Tfdp2
19,Gsk3b
20,Tgfb1
21,Tgfb2
22,Tgfb3
23,Smad2
24,Smad3
25,Smad4
26,Myc
27,Zbtb17
28,Cdkn2a
29,Cdkn2b
30,Cdkn2c
31,Cdkn2d
32,Cdkn1b
33,Cdkn1c
34,Cdkn1a
35,Ccne1
36,Ccne2
37,Cdk2
38,Skp1
39,Cul1
40,Rbx1
41,Skp2
42,Ccna2
43,Ccna1
44,Cdc6
45,Cdt1
46,Orc1
47,Orc2
48,Orc3
49,Orc4
50,Orc5
51,Orc6
52,Mcm2
53,Mcm3
54,Mcm4
55,Mcm5
56,Mcm6
57,Mcm7
58,Cdc45
59,Ticrr
60,Mtbp
61,Cdc7
62,Dbf4
63,Cdk1
64,Ccnb1
65,Ccnb1-ps
66,Ccnb2
67,Ccnb3
68,Cdc25b
69,Cdc25c
70,Ywhaz
71,Ywhab
72,Ywhaq
73,Gm2423
74,Ywhae
75,Ywhah
76,Ywhag
77,Plk1
78,Wee1
79,Wee2
80,Pkmyt1
81,Ccnh
82,Cdk7
83,Anapc1
84,Anapc2
85,Cdc27
86,Anapc4
87,Anapc5
88,Cdc16
89,Anapc7
90,Cdc23
91,Anapc10
92,Anapc11
93,Cdc26
94,Anapc13
95,Anapc15
96,Anapc16
97,Cdc20
98,Pttg1
99,Espl1
100,Smc1b
101,Smc1a
102,Smc3
103,Rad21
104,Stag2
105,Stag1
106,Atrx
107,Ddx11
108,Nipbl
109,Mau2
110,Hdac8
111,Esco1
112,Esco2
113,Pds5a
114,Pds5b
115,Wapl
116,Cdca5
117,Aurkb
118,Sgo1
119,Ppp2ca
120,Ppp2cb
121,Ppp2r1a
122,Ppp2r1b
123,Ppp2r5b
124,Ppp2r5c
125,Ppp2r5d
126,Ppp2r5e
127,Ppp2r5a
128,Ndc80
129,Knl1
130,Ttk
131,Mad1l1
132,Mad2l1
133,Mad2l2
134,Bub1b
135,Bub3
136,Bub1
137,Trip13
138,Mad2l1bp
139,Fzr1
140,Fbxo5
141,Cdc14b
142,Cdc14a
143,Crebbp
144,Ep300
145,Prkdc
146,Atr
147,Atm
148,Mdm2
149,Trp53
150,Gadd45a
151,Gadd45b
152,Gadd45g
153,Pcna
154,Sfn
155,Chek1
156,Chek2
157,Cdc25a
