,gene_symbol
1,Casp3
2,Casp7
3,Bid
4,Bax
5,Bak1
6,Diablo
7,Septin4
8,Htra2
9,Cycs
10,Cyct
11,Apaf1
12,Casp9
13,Prf1
14,Gzmb
15,Tuba4a
16,Tuba3a
17,Tuba1a
18,Tuba1c
19,Tuba3b
20,Tuba1b
21,Tuba8
22,Tubal3
23,Mcl1
24,Actg1
25,Actb
26,Sptan1
27,Lmna
28,Lmnb1
29,Lmnb2
30,Parp1
31,Parp2
32,Parp3
33,Parp4
34,Dffa
35,Dffb
36,Endog
37,Aifm1
38,Ern1
39,Traf2
40,Itpr1
41,Itpr2
42,Itpr3
43,Capn1
44,Capn2
45,Casp12
46,Eif2ak3
47,Eif2s1
48,Atf4
49,Ddit3
50,Ctsb
51,Ctsc
52,Ctsd
53,Ctsf
54,Ctsh
55,Ctsk
56,Ctsl
57,Ctso
58,Ctss
59,Ctsw
60,Ctsz
61,Birc2
62,Birc3
63,Xiap
64,Birc5
65,Bcl2l11
66,Bcl2l1
67,Bcl2
68,Daxx
69,Ripk1
70,Dab2ip
71,Map3k5
72,Mapk8
73,Mapk9
74,Mapk10
75,Bad
76,Jun
77,Fos
78,Trp53
79,Hrk
80,Map3k14
81,Chuk
82,Ikbkb
83,Ikbkg
84,Nfkbia
85,Nfkb1
86,Rela
87,Ptpn13
88,Gadd45a
89,Gadd45b
90,Gadd45g
91,Traf1
92,Bcl2a1d
93,Bcl2a1a
94,Bcl2a1b
95,Bcl2a1c
96,Atm
97,Pidd1
98,Bbc3
99,Pmaip1
100,Casp2
101,Ngf
102,Ntrk1
103,Il3
104,Il3ra
105,Csf2rb2
106,Csf2rb
107,Pik3ca
108,Pik3cd
109,Pik3cb
110,Pik3r2
111,Pik3r1
112,Pik3r3
113,Pdpk1
114,Akt1
115,Akt2
116,Akt3
117,Hras
118,Kras
119,Nras
120,Raf1
121,Map2k1
122,Map2k2
123,Mapk1
124,Mapk3
