,gene_symbol
1,ccnd1
2,ccnd2a
3,ccnd2b
4,ccnd3
5,cdk4
6,cdk6
7,cdk21
8,rb1
9,rbl1
10,rbl2
11,abl1
12,hdac1
13,e2f1
14,si:ch211-160f23.5
15,e2f3
16,e2f4
17,e2f5
18,tfdp1a
19,tfdp1b
20,tfdp2
21,gsk3ba
22,gsk3bb
23,tgfb1a
24,tgfb1b
25,tgfb2
26,tgfb2l
27,tgfb3
28,smad2
29,smad3b
30,smad3a
31,smad10a
32,smad4a
33,si:dkey-239n17.4
34,gb:cr929477
35,mycb
36,myca
37,zbtb17
38,cdkn2c
39,cdkn2d
40,cdkn1bb
41,cdkn1ba
42,cdkn1ca
43,cdkn1cb
44,cdkn1a
45,cdkn1d
46,ccne2
47,ccne1
48,cdk2
49,skp1
50,cul1a
51,cul1b
52,rbx1
53,skp2
54,ccna2
55,ccna1
56,cdc6
57,cdt1
58,orc1
59,orc2
60,orc3
61,orc4
62,orc5
63,orc6
64,mcm2
65,mcm3
66,mcm3l
67,mcm4
68,mcm5
69,mcm6
70,mcm6l
71,mcm7
72,cdc45
73,ticrr
74,mtbp
75,cdc7
76,dbf4
77,dbf4b
78,cdk1
79,ccnb1
80,ccnb1l
81,ccnb2
82,ccnb3
83,cdc25b
84,ywhabb
85,ywhaqb
86,ywhaba
87,ywhaqa
88,ywhabl
89,ywhaz
90,ywhae1
91,ywhae2
92,ywhag1
93,ywhag2
94,ywhah
95,plk1
96,wee1
97,wee2
98,pkmyt1
99,ccnh
100,cdk7
101,anapc1
102,anapc2
103,cdc27
104,anapc4
105,anapc5
106,cdc16
107,anapc7
108,cdc23
109,anapc10
110,anapc11
111,cdc26
112,anapc13
113,anapc15
114,anapc16
115,cdc20
116,pttg1
117,espl1
118,smc1b
119,smc1a
120,smc1al
121,smc3
122,rad21a
123,rad21b
124,rad21l1
125,stag1a
126,stag2b
127,stag2a
128,stag1b
129,si:ch211-269e2.1
130,atrx
131,ddx11
132,nipbla
133,nipblb
134,mau2
135,hdac8
136,esco2
137,esco1
138,pds5a
139,pds5b
140,waplb
141,wapla
142,cdca5
143,aurkb
144,sgo1
145,ppp2cab
146,ppp2cb
147,ppp2caa
148,ppp2r1ba
149,ppp2r1bb
150,ppp2r5a
151,ppp2r5b
152,ppp2r5cb
153,ppp2r5d
154,ppp2r5eb
155,ppp2r5ea
156,ppp2r5ca
157,ndc80
158,casc5
159,ttk
160,mad1l1
161,mad2l1
162,mad2l2
163,bub1bb
164,bub3
165,bub1
166,trip13
167,mad2l1bp
168,fzr1a
169,fzr1b
170,fbxo5
171,cdc14b
172,cdc14aa
173,cdc14ab
174,ep300a
175,ep300b
176,crebbpa
177,crebbpb
178,prkdc
179,atr
180,atm
181,mdm2
182,tp53
183,gadd45aa
184,gadd45ga
185,gadd45ab
186,gadd45ba
187,gadd45bb
188,gadd45gb.1
189,pcna
190,chek1
191,chek2
