,gene_symbol
1,actb1
2,actb2
3,aifm1
4,akt1
5,akt2
6,akt2l
7,akt3a
8,akt3b
9,apaf1
10,atf4a
11,atf4b
12,atm
13,bada
14,badb
15,baxa
16,bcl2a
17,bcl2b
18,bcl2l1
19,bcl2l11
20,bida
21,birc2
22,birc5a
23,birc5b
24,capn1
25,capn1a
26,capn1b
27,capn2a
28,capn2b
29,capn2l
30,capn8
31,casp2
32,casp21
33,casp22
34,casp3a
35,casp3b
36,casp6a
37,casp6b.1
38,casp7
39,casp8
40,casp8l1
41,casp8l2
42,casp9
43,cflara
44,chuk
45,csf2rb
46,cts12
47,ctsba
48,ctsbb
49,ctsc
50,ctsd
51,ctsf
52,ctsh
53,ctsk
54,ctsl.1
55,ctsla
56,ctslb
57,ctso
58,ctss1
59,ctss2.1
60,ctss2.2
61,ctsz
62,cycsb
63,dab2ipa
64,dab2ipb
65,daxx
66,ddit3
67,dffa
68,dffb
69,diabloa
70,diablob
71,eif2ak3
72,eif2s1a
73,eif2s1b
74,endog
75,ern1
76,ern2
77,fadd
78,fas
79,faslg
80,fosaa
81,fosab
82,gadd45aa
83,gadd45ab
84,gadd45ba
85,gadd45bb
86,gadd45ga
87,gadd45gb.1
88,gzm3
89,gzm3.3
90,gzm3.4
91,hdr
92,hrasa
93,hrasb
94,htra2-14
95,ikbkb
96,ikbkg
97,itpr1a
98,itpr1b
99,itpr2
100,itpr3
101,jun
102,kras
103,lmna
104,lmnb1
105,lmnb2
106,lmnl3
107,map2k1
108,map2k2a
109,map2k2b
110,map3k14a
111,map3k5
112,mapk1
113,mapk10
114,mapk3
115,mapk8a
116,mapk8b
117,mapk9
118,mcl1a
119,napsa
120,nfkb1
121,nfkbiaa
122,nfkbiab
123,ngfa
124,ngfb
125,nras
126,ntrk1
127,parp1
128,parp2
129,parp3
130,parp4
131,pdpk1a
132,pdpk1b
133,pidd1
134,pik3ca
135,pik3cb
136,pik3cd
137,pik3r1
138,pik3r2
139,pik3r3b
140,pmaip1
141,prf1.1
142,prf1.2
143,prf1.3
144,prf1.5
145,prf1.6
146,prf1.8
147,prf1.9
148,ptpn13
149,raf1a
150,raf1b
151,rela
152,ripk1l
153,septin4a
154,septin4b
155,si:ch211-114n24.6
156,si:ch211-153j24.3
157,si:ch211-165b19.5
158,si:ch211-1i11.3
159,si:ch211-202f3.3
160,si:dkey-239j18.2
161,si:dkey-239j18.3
162,si:dkey-26g8.5
163,si:dkey-33c12.10
164,si:dkeyp-50d11.2
165,sptan1
166,tnfa
167,tnfrsf1a
168,tnfsf10
169,tp53
170,tradd
171,traf1
172,traf2a
173,traf2b
174,tuba1a
175,tuba1b
176,tuba1c
177,tuba2
178,tuba4l
179,tuba5
180,tuba7l
181,tuba8l2
182,tuba8l3
183,tuba8l4
184,tuba8l5
185,xiap
